country,Revenue , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit
UK,"2,22,700","1,94,952",12-12-2020,Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233,"27,748"
Portugal,"1,43,322","1,14,214",19-05-2020,Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC,04-2863062,"29,109"
UK,"1,28,227","1,06,711",01-06-2019,Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC,18-7077174,"21,517"
Sweden,"1,27,940","1,12,267",09-12-2019,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC,64-8300193,"15,673"
Sweden,"1,46,541","1,20,823",30-04-2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC,84-2858993,"25,718"
Portugal,"36,322","31,582",29-10-2020,Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440,"4,740"
Spain,"42,815","35,356",01-02-2019,Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC,68-1806238,"7,458"
UK,"1,69,262","1,41,080",26-04-2020,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC,87-0922827,"28,182"
Sweden,"1,14,427","93,727",11-03-2020,Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,33-8547717,"20,700"
UK,"1,26,980","1,05,114",26-09-2019,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694,"21,866"
Luxembourg,"2,94,875","2,59,106",15-12-2020,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680,"35,768"
UK,"1,73,259","1,43,199",24-05-2019,Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC,92-4106004,"30,060"
Luxembourg,"1,58,362","1,33,990",14-08-2020,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087,"24,372"
UK,"50,689","43,598",18-11-2020,Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051,"7,091"
Ireland,"1,17,358","1,02,665",02-11-2020,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057,"14,693"
Sweden,"93,997","77,171",10-10-2020,Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725,"16,825"
UK,"1,19,769","98,235",11-01-2020,Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC,55-5032186,"21,535"
France,"84,194","71,885",26-12-2020,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719,"12,309"
Finland,"2,05,583","1,66,748",22-12-2020,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214,"38,835"
Sweden,"1,59,793","1,39,180",15-06-2019,Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776,"20,613"
Portugal,"1,04,711","90,868",25-08-2020,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC,33-0729966,"13,843"
France,"69,127","55,903",08-12-2019,Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531,"13,224"
Sweden,"20,226","17,409",23-02-2019,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349,"2,818"
France,"65,037","52,361",30-05-2019,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443,"12,676"
France,"2,54,022","2,05,605",03-07-2019,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331,"48,417"
Luxembourg,"1,60,186","1,30,488",27-09-2020,Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030,"29,698"
UK,"81,220","70,320",20-05-2020,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC,34-5793997,"10,900"
Portugal,"1,08,413","88,595",03-08-2019,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101,"19,818"
Spain,"42,028","36,300",01-03-2020,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC,55-3118263,"5,728"
Sweden,"62,273","54,601",20-02-2019,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC,58-9822844,"7,672"
Sweden,"91,351","75,839",04-02-2019,Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC,51-5324396,"15,511"
UK,"1,23,272","1,01,576",20-01-2019,Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830,"21,696"
Luxembourg,"1,82,852","1,45,441",28-12-2019,Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189,"37,412"
Portugal,"1,18,321","94,823",23-11-2020,Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879,"23,499"
UK,"74,296","63,716",11-04-2019,Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC,85-8092784,"10,580"
UK,"1,52,865","1,21,131",06-12-2020,Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883,"31,735"
France,"1,71,459","1,48,878",16-08-2019,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826,"22,581"
UK,"1,56,178","1,30,096",24-12-2019,Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,91-0416047,"26,082"
Portugal,"1,16,024","96,566",02-06-2020,Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC,34-0232219,"19,457"
France,"70,657","61,331",05-09-2020,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331,"9,327"
Netherlands,"1,04,152","85,696",06-05-2019,Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510,"18,456"
Portugal,"84,225","68,239",21-01-2019,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761,"15,986"
Portugal,"1,72,505","1,39,125",02-10-2020,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863,"33,380"
Portugal,"89,830","76,796",19-04-2019,Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337,"13,034"
Netherlands,"3,53,925","2,87,529",04-12-2020,Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099,"66,396"
France,"1,41,437","1,14,691",26-05-2019,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505,"26,746"
UK,"1,78,465","1,56,282",27-04-2020,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,68-8279682,"22,183"
Sweden,"1,10,093","92,797",29-06-2020,Other,"Rowe, Hermiston and Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520,"17,296"
UK,"1,54,715","1,26,573",23-10-2020,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,PC,46-1054213,"28,143"
Sweden,"92,878","75,937",05-04-2020,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268,"16,941"
France,"66,141","53,435",26-05-2019,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115,"12,706"
Germany,"2,41,782","1,96,545",09-06-2020,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,15-7053450,"45,237"
Portugal,"2,11,873","1,77,931",23-07-2019,Games,Johns and Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010,"33,942"
